objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Bacteria Hysteria","283794","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","69793641","0","5.375","0","0","14","thing","Bacteria Hysteria","2","4","20","0","20","2019","","","","","","","","","","standalone","","","","",""
"Bakong","40629","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","64487876","5.50649","5.54136","1.2941","16354","819","thing","Bakong","2","6","20","20","20","2009","3,4,5,6","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"BAM! Ihr habt es so gewollt!","235838","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247459","0","6.16667","0","0","94","thing","BAM! Ihr habt es so gewollt!","3","6","40","40","20","2017","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Pegasus Spiele","German","2017","German edition"
"Bam!: Das unanständig gute Wortspiel","146496","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247438","5.49052","5.47975","1","18422","307","thing","Bam!: Das unanständig gute Wortspiel","4","10","40","40","20","2013","4,5,6,7,8,9,10","8","16","Unplayable in another language","","","","","","standalone","","","","",""
"Bam!: Extrahart","181906","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247449","5.54662","6.50833","1","10457","230","thing","Bam!: Extrahart","3","6","40","40","20","2015","3,4,5,6","4,5,6","18+","Unplayable in another language","","","","","","standalone","","Pegasus Spiele","German","2015","German edition"
"Banana Joe","267144","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","73309874","0","4.79167","0","0","25","thing","Banana Joe","2","4","20","20","20","2018","","","","","","","","","","standalone","","","","",""
"The Battle at Kemble's Cascade","154301","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248963","6.05713","6.72993","0","2225","2741","thing","The Battle at Kemble's Cascade","1","5","75","75","75","2015","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Z-Man Games, Inc.","German","2015","German edition"
"Bears vs Babies","211534","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","65745864","5.41728","5.50851","0","20627","9811","thing","Bears vs Babies","2","5","20","20","15","2018","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Asmodee","German","2018","German edition"
"Beasty Bar","165950","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249280","6.37273","6.81736","1.4188","1282","4968","thing","Beasty Bar","2","4","20","20","20","2014","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; French; German; Italian","2014","Multilingual edition"
"Beasty Bar 3: Born to Be Wild","286657","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70202383","5.64419","7.0792","1.8","5918","494","thing","Beasty Bar 3: Born to Be Wild","2","4","20","20","20","2019","2,3,4","3","","","","","","","","standalone","","","","",""
"Beasty Bar: New Beasts in Town","181617","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70306953","5.97251","7.04477","1.8235","2609","1492","thing","Beasty Bar: New Beasts in Town","2","4","20","20","20","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bermuda","171548","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248434","5.53366","5.97781","1.125","12039","226","thing","Bermuda","3","6","15","15","15","2015","3,4,5,6","6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Black Stories","18803","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248746","5.84877","6.0328","1.2865","3345","7320","thing","Black Stories","2","15","20","20","20","2004","3,4,5,6,7,8,9,10","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Black Stories 2","20750","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248757","5.76247","6.16205","0","4115","2773","thing","Black Stories 2","2","15","20","20","20","2005","2,3,4,5,6,7,8,9","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Black Stories Junior: Blue Stories","43042","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248739","5.49016","4.93226","0","18455","106","thing","Black Stories Junior: Blue Stories","2","15","222","222","2","2009","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","moses. Verlag GmbH","German","2009","German edition"
"Black Stories Junior: Golden Stories","142322","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64514058","0","4.848","1","0","108","thing","Black Stories Junior: Golden Stories","2","15","222","222","2","2013","","","","","","","","","","standalone","","","","",""
"Black Stories: Office Edition","152622","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64514050","0","5.24","1","0","84","thing","Black Stories: Office Edition","2","15","20","20","20","2014","3","3","","","","","","","","standalone","","","","",""
"Bohn Hansa","4395","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247602","5.58302","5.79141","0","7982","1392","thing","Bean Trader","3","5","90","90","90","2002","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2002","German edition"
"Bohn to Be Wild!","128412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249410","5.71747","6.68258","0","4657","1107","thing","Bohn to Be Wild!","1","7","60","60","60","2012","1,2,3,4,5","2","10+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2012","German edition"
"Bohnanza","11","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249419","6.93229","7.0381","1.6745","464","58127","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Boss Monster 2: The Next Level","174973","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71093183","6.22334","6.73434","0","0","10033","thing","Boss Monster 2: The Next Level","2","4","30","30","20","2015","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70202355","6.10954","6.28174","1.8421","2027","28752","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Boss Monster: Totale Zerstörung!","235837","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71103599","0","6.69444","0","0","128","thing","Boss Monster: Totale Zerstörung!","2","4","60","60","30","2017","","","","","","","","","","expansion","","","","",""
"Brügge","136888","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247101","7.15861","7.43036","2.7462","269","11180","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Burger Party","249658","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","74972947","5.51381","6.07704","1","15126","99","thing","Burger Party","2","5","10","10","10","2018","3,4,5","","","No necessary in-game text","","","","","","standalone","","","","",""
"Cadwallon: Stadt der Diebe","69120","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247301","5.85521","6.27717","0","3294","2985","thing","Cadwallon: City of Thieves","2","4","45","45","45","2010","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Caesar & Cleopatra","132","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247725","6.13758","6.4064","1.9142","1944","7245","thing","Caesar & Cleopatra","2","2","60","60","60","1997","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Carcassonne Big Box","142057","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64247553","6.23791","7.55478","2.2903","0","2689","thing","Carcassonne Big Box","2","5","45","45","45","2006","2,3,4","2","8+","","","","","","","standalone","","","","",""
"Carcassonne: Das Würfelspiel","89953","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249388","5.29994","4.9524","1.1136","20863","2092","thing","Carcassonne: The Dice Game","2","5","10","10","10","2011","2,3,4","","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Carnival of Monsters","231484","7.2","3","0","1","0","0","0","0","0","0","0","3","","","","","","71090597","6.34177","7.30329","2.1087","1350","2610","thing","Carnival of Monsters","2","5","45","45","45","2019","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Catan: Das schnelle Kartenspiel","91534","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247701","5.86781","6.15453","1.669","3209","6034","thing","Struggle for Catan","2","4","30","30","30","2011","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Catan: Das Spiel – Ergänzung 5-6 Spieler","2807","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247183","6.72647","6.97592","2.3205","0","40753","thing","Catan: 5-6 Player Extension","5","6","120","120","120","1996","4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Cerberus","256918","0","","0","1","0","0","0","0","0","0","0","3","","","","","","75747517","5.83312","6.81134","1.7917","3469","1012","thing","Cerberus","3","7","45","45","30","2018","4,5,6,7","5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Chez Cthulhu","56342","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249664","5.55813","5.89337","1.625","9467","1165","thing","Chez Cthulhu","2","5","60","60","45","2010","2,3,4,5","3,4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Pegasus Spiele","German","2010","German edition"
"Chez Geek 1+2","193337","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249636","5.51604","6.27273","0","0","93","thing","Chez Geek 1+2","2","5","60","60","60","2014","2,3,4,5","5","16+","","","","","","","standalone","","Pegasus Spiele","German","2014","German edition"
"Chez Genius: Die Studenten-WG","4604","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249652","5.59233","5.96593","1.4595","7566","972","thing","Chez Greek","2","6","60","60","60","2008","3,4,5,6","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Pegasus Spiele","German","2008","German edition"
"Chez Goth","9962","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249672","5.62575","5.99056","0","6378","1629","thing","Chez Goth","2","5","60","60","60","2004","3,4,5","4,5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Chez Guevara","22169","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64324147","5.5073","5.58029","1.65","16213","638","thing","Chez Guevara","2","5","60","60","45","2009","2,3,4,5","3,4","18+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Pegasus Spiele","German","2009","Pegasus German edition"
"CLACK!","117555","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69810960","5.5168","5.67474","1.0833","14626","484","thing","CLACK!","2","6","10","10","10","2012","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","","","",""
"Clever Cubed","316546","0","","0","1","0","0","0","0","0","0","0","3","","","","","","80674012","6.24812","7.78238","2.6087","1590","1833","thing","Clever Cubed","1","4","30","30","30","2020","1,2,3,4","1,2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Coconuts","145639","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70357122","6.55438","7.03439","1.0417","949","5930","thing","Coconuts","2","4","20","20","20","2013","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Color Addict","124954","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74348846","5.51816","5.76744","0","14399","412","thing","Color Addict","2","6","15","15","15","2009","2,3,4,5,6","3,4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Coloretto","5782","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249181","6.83123","6.96937","1.2824","560","23596","thing","Coloretto","2","5","30","30","30","2003","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Concept","147151","5","2","0","1","0","0","0","0","0","0","0","3","","","","","","64248836","6.66478","6.81344","1.3986","789","25010","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Copenhagen: Roll & Write","282463","0","","0","1","0","0","0","0","0","0","0","3","","","","","","77751673","5.79505","6.72408","1.3","3804","1221","thing","Copenhagen: Roll & Write","2","4","40","40","20","2019","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cranium Zigity","11618","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248402","5.42052","5.31921","1.0947","20615","2240","thing","Cranium Zigity","2","10","10","10","10","2004","2,3,4,5,6,7,8","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Crew: The Quest for Planet Nine","284083","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","73310110","7.7685","7.99158","1.995","39","39475","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Da Vinci Code","8946","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248470","5.8","6.10053","1.4862","3749","2672","thing","Coda","2","4","15","15","15","2004","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Winning Moves Games (USA)","German","2004","German edition"
"Dackel Drauf!","245134","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66618776","5.52375","6.27803","1.5","13532","112","thing","Dackel Drauf!","2","5","20","20","20","2018","2,3,4,5","2,3,4,5","Up to 5","","","","","","","standalone","","","","",""
"Das Ältere Zeichen","100423","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","66840534","6.82304","6.98261","2.3491","573","36350","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Das Geheimnis der Pyramiden","8295","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64248624","5.47089","4.98762","0","19742","312","thing","Secrets of the Pyramids","2","4","15","15","15","2000","2,3,4","4","5+","","","","","","","standalone","","","","",""
"Der Herr der Ringe","823","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840555","6.58465","6.74634","2.565","902","23873","thing","The Lord of the Rings","2","5","90","90","60","2000","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Der Herr der Ringe: Die Suche","1426","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840564","5.31671","5.06279","0","20847","2431","thing","Lord of the Rings: The Search","2","2","30","30","30","2001","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Der Herr des Eisgartens","157917","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64390145","6.33406","7.66678","0","1367","2107","thing","The Lord of the Ice Garden","1","4","90","90","90","2014","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Deutschland: Finden Sie Minden","28436","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247573","5.63246","6.41477","1.6207","6207","433","thing","Deutschland: Finden Sie Minden","2","5","45","45","45","2007","2,3,4,5","3,4","12+","","","","","","","standalone","","KOSMOS","German","2007","First edition"
"Die guten und die bösen Geister","2290","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247545","5.89418","6.36411","1.3083","3021","2045","thing","Good & Bad Ghosts","2","2","15","15","15","1980","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Die Legenden von Andor","127398","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247317","6.97842","7.19734","2.7656","414","26387","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Die Quacksalber von Quedlinburg","244521","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66340389","7.655","7.83643","1.9441","67","38555","thing","The Quacks of Quedlinburg","2","4","45","45","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Die Rückkehr der Helden","8170","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66840627","6.03239","6.48524","0","2317","3014","thing","Return of the Heroes","1","4","90","90","90","2003","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Die Sieben Siegel","8129","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249144","6.29059","6.86046","1.8578","1482","3686","thing","Sluff Off!","3","5","30","30","30","2003","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Die Siedler von Catan","13","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247160","6.98123","7.1455","2.3164","411","159908","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Die Siedler von Catan: Aufbruch der Händler","103091","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247205","5.78593","6.66392","0","3889","1792","thing","Catan Histories: Merchants of Europe","3","4","120","120","120","2011","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Die Siedler von Catan: Das Kartenspiel","278","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247693","6.53324","6.71188","2.4486","989","22305","thing","Catan Card Game","2","2","120","120","60","1996","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Die Siedler von Catan: Das Würfelspiel","27710","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247733","5.62094","5.69626","1.2324","6528","12230","thing","Catan Dice Game","1","4","15","15","15","2007","1,2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Die Siedler von Catan: Händler & Barbaren","27760","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247189","6.50735","6.97549","2.5677","0","13470","thing","Catan: Traders & Barbarians","2","4","60","60","60","2007","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Die Siedler von Catan: Seefahrer Erweiterung","325","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247172","6.93382","7.15338","2.3991","0","36264","thing","Catan: Seafarers","3","4","90","90","90","1997","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Die Siedler von Catan: Seefahrer-Erweiterung Ergänzungssatz","4103","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247178","6.49374","6.98756","2.4241","0","11979","thing","Catan: Seafarers – 5-6 Player Extension","5","6","120","120","120","1999","5,6","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Die Siedler von Catan: Travel Box","3972","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247664","6.07664","6.75993","0","2158","3374","thing","Catan: Portable Edition","3","4","90","90","90","2002","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Die Sternenfahrer von Catan","1897","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247209","6.44646","6.8044","2.5793","1142","7249","thing","The Starfarers of Catan","3","4","120","120","120","1999","3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Die Tore der Welt","43528","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64247000","6.77823","7.25225","2.8134","627","7138","thing","World Without End","2","4","120","120","90","2009","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Die Werwölfe von Düsterwald","25821","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64249197","6.49709","6.73118","0","1062","16797","thing","The Werewolves of Miller's Hollow","8","18","30","30","30","2001","8,9,10,11,12,13,14,15,16,17,18","11,12,13,14,15","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Die Werwölfe von Düsterwald: Neumond","21713","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249204","5.93106","6.65171","1.4762","0","3649","thing","The Werewolves of Miller's Hollow: New Moon","8","18","30","30","30","2005","6,7,8,9,10,11,12,13,14,15,16,17,18","13,14,15,16,17,18","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dirty Pig","118410","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","69732700","5.74318","6.11287","0","4330","2414","thing","Dirty Pig","2","6","10","10","10","2012","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Odyssey","92828","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","64248829","7.23312","7.44771","1.1844","224","24002","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Do De Li Do","206939","0","","0","1","0","0","0","0","0","0","0","3","","","","","","71811015","5.82078","6.60418","1","3570","1300","thing","Do De Li Do","2","6","20","20","10","2016","2,3,4,5,6","","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Dodelido Extreme","297892","0","","0","1","0","0","0","0","0","0","0","3","","","","","","73309972","5.54878","7.03655","1","10246","166","thing","Dodelido Extreme","2","6","20","20","20","2020","2,3,4","3,4","","","","","","","","standalone","","","","",""
